Version,File Name,Method Name,LOC,CognitiveComplexity,CyclomaticComplexity,CodeSmells,NestingDepth,ParameterCount,ChurnTotal,AvgAdded,MaxAdded,AvgDeleted,MaxDeleted,AvgChurn,MaxChurn,ElseAdded,ElseDeleted,CondChanges,DecisionPoints,Histories,Authors,Buggy
release-4.0.0,ScanCallback.java,"void scanFailed(Object, Exception)",1,0,1,0,0,2,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,ScanCallback.java,"void messageScanned(Object, Message)",1,0,1,0,0,2,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,ScanCallback.java,"void scanFinished(Object, ReasonForFinish)",1,0,1,0,0,2,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,Either.java,"Either<T, U> right(U)",3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,Either.java,T left(),3,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,Either.java,"Either<T, U> of(T, U)",3,0,1,0,0,2,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,Either.java,U right(),3,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,Either.java,"Either<T, U> left(T)",3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,InMemorySubscriptionState.java,MessageSeqId getLastConsumeSeqId(),3,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,InMemorySubscriptionState.java,"boolean setLastConsumeSeqId(MessageSeqId, int)",10,1,2,0,1,2,27,12.00,22,1.50,3,13.50,22,0,0,4,1,2,1,Yes
release-4.0.0,InMemorySubscriptionState.java,SubscriptionState getSubscriptionState(),3,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,FIFODeliveryManager.java,long getLastScanErrorTime(),3,0,1,0,0,0,6,1.00,1,5.00,5,6.00,6,0,0,0,0,1,1,No
release-4.0.0,FIFODeliveryManager.java,Set<ActiveSubscriberState> newInstance(),4,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,FIFODeliveryManager.java,void retryErroredSubscribers(),16,3,4,0,2,0,2,1.00,1,1.00,1,2.00,2,0,0,0,3,1,1,Yes
release-4.0.0,FIFODeliveryManager.java,void permanentErrorOnSend(),3,0,1,0,0,0,6,1.00,1,0.20,1,1.20,2,0,0,0,0,5,2,Yes
release-4.0.0,FIFODeliveryManager.java,"void startServingSubscription(ByteString, ByteString, MessageSeqId, DeliveryEndPoint, MessageFilter, boolean)",8,0,1,0,0,6,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,FIFODeliveryManager.java,void stopServingSubscriber(ActiveSubscriberState),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
release-4.0.0,FIFODeliveryManager.java,"void scanFinished(Object, ReasonForFinish)",3,0,1,0,0,2,4,1.00,1,0.00,0,1.00,1,0,0,0,0,4,1,No
release-4.0.0,FIFODeliveryManager.java,void deliverNextMessage(),13,1,2,0,1,0,0,0.00,0,0.00,0,0.00,0,0,0,0,1,0,0,No
