Version,File Name,Method Name,LOC,CognitiveComplexity,CyclomaticComplexity,CodeSmells,NestingDepth,ParameterCount,ChurnTotal,AvgAdded,MaxAdded,AvgDeleted,MaxDeleted,AvgChurn,MaxChurn,ElseAdded,ElseDeleted,CondChanges,DecisionPoints,Histories,Authors,Buggy
1.0.3,OrExpression.java,void acceptVisit(ExpressionVisitor),6,0,1,2,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,OrExpression.java,"boolean eval(Object, Object, StoreContext, Object[])",5,0,1,2,0,4,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,OrExpression.java,"boolean eval(Collection, StoreContext, Object[])",5,0,1,2,0,3,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeCreateStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterRollback(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void eventOccurred(JDBCEvent),2,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterCreateStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterCommit(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeExecuteStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforePrepareStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterExecuteStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterReturn(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeClose(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeCommit(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeRollback(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterConnect(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void afterPrepareStatement(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,AbstractJDBCListener.java,void beforeReturn(JDBCEvent),3,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,InValueExpression.java,"Collection getCollection(ExpContext, ExpState)",4,0,1,0,0,2,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,MetaDataPlusMappingFactory.java,"void load(Class, int, ClassLoader)",6,2,3,0,1,3,0,0.00,0,0.00,0,0.00,0,0,0,0,2,0,0,No
1.0.3,MetaDataPlusMappingFactory.java,void setStoreDirectory(File),4,0,1,0,0,1,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,MetaDataPlusMappingFactory.java,MetaDataFactory getMappingDelegate(),3,0,1,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,No
1.0.3,MetaDataPlusMappingFactory.java,"boolean store(ClassMetaData[], QueryMetaData[], SequenceMetaData[], int, Map)",11,2,3,0,1,5,0,0.00,0,0.00,0,0.00,0,0,0,0,2,0,0,No
1.0.3,MetaDataPlusMappingFactory.java,MetaDataFactory getInnermostMappingDelegate(),5,1,2,0,1,0,0,0.00,0,0.00,0,0.00,0,0,0,0,1,0,0,No
